time,output_power,wind_speed,temperature,pressure
2010-03-05 17:00:00+01:00,387352.5786920091,2.13749,270.57,101002.0
2010-03-05 18:00:00+01:00,176522.76617208426,1.15137,270.36,100966.0
2010-03-05 19:00:00+01:00,295726.9650464136,1.37865,269.45,100906.0
2010-03-05 20:00:00+01:00,588623.3907765058,2.1600200000000003,268.63,100817.0
2010-03-05 21:00:00+01:00,770802.16791525,2.88258,268.03,100697.0
2010-03-05 22:00:00+01:00,1147673.7707057812,3.2791,267.61,100582.0
2010-03-05 23:00:00+01:00,1226750.7667061542,3.65685,267.44,100450.0
2010-03-06 00:00:00+01:00,1567354.841717389,4.25413,267.86,100305.0
2010-03-06 01:00:00+01:00,2033095.692820501,5.00339,267.91,100171.0
2010-03-06 02:00:00+01:00,2568287.204580868,5.76703,267.92,100055.0
2010-03-06 03:00:00+01:00,3940886.490824493,6.381480000000002,267.83,100003.0
2010-03-06 04:00:00+01:00,3560367.86227022,6.56779,267.59,100003.0
2010-03-06 05:00:00+01:00,4315750.123295751,6.89447,267.22,100050.0
2010-03-06 06:00:00+01:00,4972345.780592668,7.308289999999999,266.77,100145.0
2010-03-06 07:00:00+01:00,4983754.60328123,7.57743,266.54,100257.0
2010-03-06 08:00:00+01:00,5245012.7119800085,7.753989999999999,266.79,100375.0
2010-03-06 09:00:00+01:00,5091418.336492383,7.83798,267.48,100479.0
2010-03-06 10:00:00+01:00,5824257.31838476,8.008189999999999,268.38,100580.0
2010-03-06 11:00:00+01:00,5260046.186216854,7.966010000000002,269.23,100678.0
2010-03-06 12:00:00+01:00,5400011.238726055,7.940930000000002,269.91,100775.0
2010-03-06 13:00:00+01:00,5081142.3999686735,7.6478199999999985,270.39,100878.0
2010-03-06 14:00:00+01:00,5324144.14266671,7.331180000000002,270.66,100992.0
2010-03-06 15:00:00+01:00,3454701.609486098,6.5728100000000005,270.78,101104.0
2010-03-06 16:00:00+01:00,3606462.3607247486,5.78246,270.6,101195.0
2010-03-06 17:00:00+01:00,2479472.081905161,5.5056400000000005,270.17,101294.0
2010-03-06 18:00:00+01:00,3695267.1646752767,6.13441,269.78,101397.0
2010-03-06 19:00:00+01:00,3783343.1237504687,5.9958300000000015,269.44,101487.0
2010-03-06 20:00:00+01:00,3099943.0959938657,5.76264,268.98,101558.0
2010-03-06 21:00:00+01:00,2168180.846269241,5.27514,268.42,101620.0
2010-03-06 22:00:00+01:00,2350789.12988054,4.95509,267.86,101689.0
2010-03-06 23:00:00+01:00,1449826.5293249057,4.32428,267.36,101771.0
2010-03-07 00:00:00+01:00,1162029.2309429212,3.7339,266.9,101858.0
2010-03-07 01:00:00+01:00,1170029.3710905092,3.05128,266.13,101926.0
2010-03-07 02:00:00+01:00,986203.2826031368,2.95597,265.41,102023.0
2010-03-07 03:00:00+01:00,909179.2338845588,2.55003,264.84,102062.0
2010-03-07 04:00:00+01:00,613430.5447437728,2.4755700000000003,264.38,102113.0
2010-03-07 05:00:00+01:00,531613.4045288417,2.21285,264.0,102138.0
2010-03-07 06:00:00+01:00,539402.1087443426,2.20017,263.67,102171.0
2010-03-07 07:00:00+01:00,560215.2459111381,1.92471,263.88,102191.0
2010-03-07 08:00:00+01:00,395573.5985670599,1.5814,265.1,102177.0
2010-03-07 09:00:00+01:00,440289.74234605243,1.86371,266.7,102158.0
2010-03-07 10:00:00+01:00,453282.6083948682,2.03585,268.19,102153.0
2010-03-07 11:00:00+01:00,616422.1492056897,2.04371,269.28,102142.0
2010-03-07 12:00:00+01:00,739753.8595753703,2.23775,270.1,102135.0
2010-03-07 13:00:00+01:00,771967.4955024419,2.3366,270.73,102127.0
2010-03-07 14:00:00+01:00,451670.2859916547,2.37903,271.11,102127.0
2010-03-07 15:00:00+01:00,539398.4382810303,2.4075900000000003,271.31,102099.0
2010-03-07 16:00:00+01:00,338254.9012199057,2.02382,270.81,102065.0
2010-03-07 17:00:00+01:00,467198.314651967,1.73185,269.65,102044.0
2010-03-07 18:00:00+01:00,382451.07756578893,1.7731,268.72,102032.0
2010-03-07 19:00:00+01:00,364153.17286328116,1.76925,268.02,102018.0
2010-03-07 20:00:00+01:00,279519.0755468557,1.75109,267.41,102000.0
2010-03-07 21:00:00+01:00,328375.16675362503,1.68589,266.87,101987.0
2010-03-07 22:00:00+01:00,337434.86010616,1.58854,266.38,101964.0
2010-03-07 23:00:00+01:00,217140.53603431355,1.53531,265.94,101951.0
2010-03-08 00:00:00+01:00,366801.92394610343,1.57689,265.52,101940.0
2010-03-08 01:00:00+01:00,250810.42775812626,1.59072,265.16,101928.0
2010-03-08 02:00:00+01:00,491739.34040134976,1.60933,264.88,101906.0
2010-03-08 03:00:00+01:00,236478.1942685202,1.55444,264.77,101881.0
2010-03-08 04:00:00+01:00,226493.02639627235,1.39942,265.38,101862.0
2010-03-08 05:00:00+01:00,274433.5802853313,1.275,265.69,101842.0
2010-03-08 06:00:00+01:00,187727.1173513396,1.23392,265.9,101819.0
2010-03-08 07:00:00+01:00,235209.11403578968,1.15894,266.42,101787.0
2010-03-08 08:00:00+01:00,232222.60090859665,1.16354,267.57,101748.0
2010-03-08 09:00:00+01:00,497670.6460157089,1.61142,268.9,101710.0
2010-03-08 10:00:00+01:00,496933.2556761702,2.09556,269.78,101671.0
2010-03-08 11:00:00+01:00,950679.4546114212,2.71351,270.31,101630.0
2010-03-08 12:00:00+01:00,842898.1240975255,3.00545,270.39,101596.0
2010-03-08 13:00:00+01:00,718947.7973009724,3.1962200000000003,270.39,101566.0
2010-03-08 14:00:00+01:00,1120094.625675172,3.23007,270.39,101525.0
2010-03-08 15:00:00+01:00,731500.1950099737,3.07033,270.4,101478.0
2010-03-08 16:00:00+01:00,629152.6888755222,2.38533,270.41,101451.0
2010-03-08 17:00:00+01:00,330735.95491145266,1.91079,270.31,101434.0
2010-03-08 18:00:00+01:00,306670.2421961968,1.96599,269.84,101418.0
2010-03-08 19:00:00+01:00,744943.155497695,2.69327,269.95,101406.0
2010-03-08 20:00:00+01:00,963915.542773645,3.51723,269.58,101399.0
2010-03-08 21:00:00+01:00,1045702.3883457731,3.6634,268.9,101420.0
2010-03-08 22:00:00+01:00,1150246.575089144,3.1098,268.02,101415.0
2010-03-08 23:00:00+01:00,642876.4424830908,2.71939,266.93,101410.0
2010-03-09 00:00:00+01:00,947989.4699739759,2.66299,266.13,101416.0
2010-03-09 01:00:00+01:00,683502.0826756402,2.68492,265.53,101439.0
2010-03-09 02:00:00+01:00,844179.9869969855,2.72248,265.04,101480.0
2010-03-09 03:00:00+01:00,554506.8377904454,2.65528,264.59,101518.0
2010-03-09 04:00:00+01:00,750698.309988935,2.46711,264.17,101536.0
2010-03-09 05:00:00+01:00,460044.99914345704,2.29736,263.86,101554.0
2010-03-09 06:00:00+01:00,385699.89583260607,2.09407,263.61,101568.0
2010-03-09 07:00:00+01:00,459668.8311931072,2.1063400000000003,263.97,101603.0
2010-03-09 08:00:00+01:00,489336.0338826418,2.22056,265.39,101619.0
2010-03-09 09:00:00+01:00,575342.5540109361,2.6728400000000003,267.11,101629.0
2010-03-09 10:00:00+01:00,905313.0300980431,3.03859,268.75,101641.0
2010-03-09 11:00:00+01:00,1053237.006391187,3.22059,269.98,101647.0
2010-03-09 12:00:00+01:00,1190753.4538595458,3.39164,270.83,101641.0
2010-03-09 13:00:00+01:00,1291736.4954735043,3.47394,271.47,101643.0
2010-03-09 14:00:00+01:00,908733.0561038422,3.42651,271.85,101665.0
2010-03-09 15:00:00+01:00,961053.8477663638,3.4444,272.08,101682.0
2010-03-09 16:00:00+01:00,1174266.078359068,3.27745,271.82,101701.0
2010-03-09 17:00:00+01:00,766376.7729624296,2.63253,270.57,101733.0
2010-03-09 18:00:00+01:00,579039.9194067161,2.65529,269.6,101764.0
2010-03-09 19:00:00+01:00,604764.3543875656,2.6374,268.88,101776.0
2010-03-09 20:00:00+01:00,760957.4672344794,2.6063400000000003,268.27,101765.0
2010-03-09 21:00:00+01:00,853062.6672788288,2.5433,267.77,101749.0
2010-03-09 22:00:00+01:00,571557.1180639568,2.38223,267.35,101759.0
2010-03-09 23:00:00+01:00,424916.5084114396,2.16178,266.99,101765.0
2010-03-10 00:00:00+01:00,332965.3902015579,1.98553,266.68,101771.0
2010-03-10 01:00:00+01:00,395525.43508797314,1.86411,266.39,101778.0
2010-03-10 02:00:00+01:00,548265.3104842855,1.89398,266.1,101795.0
2010-03-10 03:00:00+01:00,409914.64893351117,2.10564,265.8,101794.0
2010-03-10 04:00:00+01:00,624188.5822965322,2.3058,265.52,101791.0
2010-03-10 05:00:00+01:00,777331.8680929141,2.56609,265.28,101779.0
2010-03-10 06:00:00+01:00,801560.8521929815,2.81925,265.06,101756.0
2010-03-10 07:00:00+01:00,903477.799169192,2.97003,265.46,101719.0
2010-03-10 08:00:00+01:00,828503.0560270746,3.2946699999999995,267.04,101652.0
2010-03-10 09:00:00+01:00,1427060.4380554282,4.23054,268.95,101590.0
2010-03-10 10:00:00+01:00,2097693.580708669,4.67344,270.57,101541.0
2010-03-10 11:00:00+01:00,2656699.3285569767,5.0748,271.84,101495.0
2010-03-10 12:00:00+01:00,2198323.4037064333,5.05283,272.92,101442.0
2010-03-10 13:00:00+01:00,3024532.9129866036,5.47376,273.75,101400.0
2010-03-10 14:00:00+01:00,2450203.3515721182,5.49633,273.95,101363.0
2010-03-10 15:00:00+01:00,2963985.696095007,5.4961,273.67,101301.0
2010-03-10 16:00:00+01:00,2770708.101397987,5.12761,273.12,101252.0
2010-03-10 17:00:00+01:00,2262419.189782141,4.75473,272.44,101237.0
2010-03-10 18:00:00+01:00,1506588.3963763989,4.19878,271.33,101219.0
2010-03-10 19:00:00+01:00,1717638.4841003818,4.19433,270.57,101176.0
2010-03-10 20:00:00+01:00,1614916.1127971946,4.13744,269.88,101133.0
2010-03-10 21:00:00+01:00,1505329.419291859,4.02223,269.28,101094.0
2010-03-10 22:00:00+01:00,1738818.099331447,3.97045,268.77,101030.0
2010-03-10 23:00:00+01:00,1100454.4004722077,3.5486,268.29,100990.0
2010-03-11 00:00:00+01:00,1015847.0916132334,3.56029,267.85,100928.0
2010-03-11 01:00:00+01:00,964919.208909716,3.6058,267.62,100847.0
2010-03-11 02:00:00+01:00,1107757.3489628364,3.30913,267.44,100820.0
2010-03-11 03:00:00+01:00,1211133.3370174146,3.22788,267.05,100781.0
2010-03-11 04:00:00+01:00,1290812.0532795736,3.26362,266.67,100740.0
2010-03-11 05:00:00+01:00,763264.8151119574,3.2568,266.31,100703.0
2010-03-11 06:00:00+01:00,776971.9100052627,3.17,265.93,100669.0
2010-03-11 07:00:00+01:00,666165.0570094244,2.96928,266.33,100632.0
2010-03-11 08:00:00+01:00,874646.3438189537,3.02575,267.87,100574.0
2010-03-11 09:00:00+01:00,1327818.5779805072,3.34269,269.59,100533.0
2010-03-11 10:00:00+01:00,937880.610438467,3.30736,271.01,100476.0
2010-03-11 11:00:00+01:00,893886.1334359817,3.4956400000000003,272.29,100417.0
2010-03-11 12:00:00+01:00,1370414.344057504,3.717,273.37,100360.0
2010-03-11 13:00:00+01:00,1430020.501501611,3.6459,273.96,100319.0
2010-03-11 14:00:00+01:00,1281490.0805958859,3.65013,274.15,100298.0
2010-03-11 15:00:00+01:00,1403948.56087338,3.65045,273.91,100258.0
2010-03-11 16:00:00+01:00,683985.8860838201,3.0675,273.22,100242.0
2010-03-11 17:00:00+01:00,786810.0172437709,3.09383,272.88,100237.0
2010-03-11 18:00:00+01:00,803111.0937551911,2.7067,271.84,100242.0
2010-03-11 19:00:00+01:00,589620.480782995,2.39847,271.18,100232.0
2010-03-11 20:00:00+01:00,408800.34623988456,2.28225,270.49,100210.0
2010-03-11 21:00:00+01:00,792823.6293288347,2.41457,269.82,100205.0
2010-03-11 22:00:00+01:00,530216.9427744639,2.47337,269.36,100188.0
2010-03-11 23:00:00+01:00,446756.2720387957,2.42902,269.76,100164.0
2010-03-12 00:00:00+01:00,722353.9566987405,2.48035,270.37,100139.0
2010-03-12 01:00:00+01:00,744864.2829830152,2.66183,270.7,100122.0
2010-03-12 02:00:00+01:00,910683.2204958649,2.85384,270.95,100106.0
2010-03-12 03:00:00+01:00,739804.2490471556,2.95241,271.19,100081.0
2010-03-12 04:00:00+01:00,712200.9408501087,3.05261,271.44,100067.0
2010-03-12 05:00:00+01:00,994984.8824937672,3.11672,271.68,100057.0
2010-03-12 06:00:00+01:00,1079812.507863575,3.22697,271.91,100046.0
2010-03-12 07:00:00+01:00,1019340.8052728329,3.44688,272.25,100035.0
2010-03-12 08:00:00+01:00,1453765.070163438,3.805,272.71,100038.0
2010-03-12 09:00:00+01:00,1320827.0306316393,4.0220400000000005,273.1,100054.0
2010-03-12 10:00:00+01:00,1206441.3871060887,3.90458,273.46,100064.0
2010-03-12 11:00:00+01:00,2807246.57556866,5.4763199999999985,275.71,100076.0
2010-03-12 12:00:00+01:00,3728917.973783257,6.61345,276.53,100100.0
2010-03-12 13:00:00+01:00,3117398.615740308,6.03455,276.59,100107.0
2010-03-12 14:00:00+01:00,3154459.5413298625,5.69667,276.57,100098.0
2010-03-12 15:00:00+01:00,3019104.8945679963,5.50329,276.05,100091.0
2010-03-12 16:00:00+01:00,2432599.234890446,5.3762,275.45,100101.0
2010-03-12 17:00:00+01:00,2151519.066187493,5.32165,274.9,100120.0
2010-03-12 18:00:00+01:00,2888121.3733945517,5.26676,274.53,100148.0
2010-03-12 19:00:00+01:00,1889461.830366279,5.0364,274.38,100171.0
2010-03-12 20:00:00+01:00,1831899.352414529,5.06441,274.37,100198.0
2010-03-12 21:00:00+01:00,2276855.309199869,4.96433,274.42,100233.0
2010-03-12 22:00:00+01:00,2590404.279151997,4.99749,274.46,100251.0
2010-03-12 23:00:00+01:00,1875876.63426722,5.03454,274.44,100276.0
2010-03-13 00:00:00+01:00,2693337.6813783883,5.12167,274.48,100309.0
2010-03-13 01:00:00+01:00,2680435.700093445,5.39578,274.48,100354.0
2010-03-13 02:00:00+01:00,2756062.0536092576,5.5136,274.42,100391.0
2010-03-13 03:00:00+01:00,2508713.7548903082,5.7871,274.23,100413.0
2010-03-13 04:00:00+01:00,3558733.889799113,6.16937,273.93,100446.0
2010-03-13 05:00:00+01:00,4067602.141878415,6.34795,273.41,100491.0
2010-03-13 06:00:00+01:00,3210635.8721453007,6.32749,273.17,100528.0
2010-03-13 07:00:00+01:00,3524810.67490947,6.3815800000000005,273.01,100543.0
2010-03-13 08:00:00+01:00,3463194.52961975,6.20829,272.99,100545.0
2010-03-13 09:00:00+01:00,4367367.857769585,6.52607,273.4,100555.0
2010-03-13 10:00:00+01:00,4985739.607293807,7.27042,273.94,100558.0
2010-03-13 11:00:00+01:00,4482776.155424782,6.89162,273.96,100548.0
2010-03-13 12:00:00+01:00,5478138.10896895,7.9291,275.28,100533.0
2010-03-13 13:00:00+01:00,5336844.138772601,7.954239999999999,275.49,100540.0
2010-03-13 14:00:00+01:00,4383110.061123362,7.455789999999999,275.41,100584.0
2010-03-13 15:00:00+01:00,3227241.5223279167,6.22052,275.28,100593.0
2010-03-13 16:00:00+01:00,2154826.564000715,4.71355,275.95,100562.0
2010-03-13 17:00:00+01:00,2185530.072926009,5.18208,275.34,100531.0
2010-03-13 18:00:00+01:00,2972227.6196812307,6.29338,275.15,100516.0
2010-03-13 19:00:00+01:00,3751011.876460537,6.83955,275.06,100496.0
2010-03-13 20:00:00+01:00,4806150.777197718,7.0789300000000015,275.07,100479.0
2010-03-13 21:00:00+01:00,4642804.420331649,6.8659,275.04,100476.0
2010-03-13 22:00:00+01:00,3437552.483877318,6.6925,275.01,100448.0
2010-03-13 23:00:00+01:00,3674669.807207687,6.73751,275.08,100421.0
2010-03-14 00:00:00+01:00,4568288.351361289,6.660819999999998,275.09,100406.0
2010-03-14 01:00:00+01:00,4457060.187501657,6.5595,275.05,100400.0
2010-03-14 02:00:00+01:00,3596581.595564863,6.54068,275.03,100402.0
2010-03-14 03:00:00+01:00,2944687.902178496,6.28124,274.99,100414.0
2010-03-14 04:00:00+01:00,3403937.179023805,6.04322,274.94,100431.0
2010-03-14 05:00:00+01:00,2878260.3822766636,5.97251,274.89,100438.0
2010-03-14 06:00:00+01:00,2531254.5788160847,5.76779,274.74,100437.0
2010-03-14 07:00:00+01:00,2991723.829585258,5.75245,275.02,100415.0
2010-03-14 08:00:00+01:00,3986225.8714243686,6.25714,275.64,100363.0
2010-03-14 09:00:00+01:00,4712405.096508424,7.06815,276.3,100306.0
2010-03-14 10:00:00+01:00,5517454.5402693525,7.93805,276.54,100239.0
2010-03-14 11:00:00+01:00,5947763.788971956,8.51483,276.88,100162.0
2010-03-14 12:00:00+01:00,6187072.422008147,8.78415,277.04,100104.0
