time,output_power,wind_speed,temperature,pressure
2010-01-03 22:00:00+01:00,208775.2778517245,1.52908,260.51,101008.0
2010-01-03 23:00:00+01:00,384623.81577360455,1.48863,260.2,101029.0
2010-01-04 00:00:00+01:00,245346.31294710984,1.4753,259.9,101045.0
2010-01-04 01:00:00+01:00,286013.34423587576,1.50899,259.62,101052.0
2010-01-04 02:00:00+01:00,165042.40380221588,1.28043,259.45,101037.0
2010-01-04 03:00:00+01:00,216579.4416978484,1.10342,259.31,100998.0
2010-01-04 04:00:00+01:00,170972.78824943345,1.06461,259.15,100954.0
2010-01-04 05:00:00+01:00,128200.54714167355,0.92526,259.09,100920.0
2010-01-04 06:00:00+01:00,206697.17193048124,0.8257059999999999,259.01,100881.0
2010-01-04 07:00:00+01:00,149360.8951128347,0.701859,258.6,100838.0
2010-01-04 08:00:00+01:00,136509.06712486644,0.636228,258.5,100787.0
2010-01-04 09:00:00+01:00,90624.14577756928,0.625409,258.92,100757.0
2010-01-04 10:00:00+01:00,183734.283478782,0.5328470000000001,259.61,100724.0
2010-01-04 11:00:00+01:00,203776.76229743406,0.5832729999999999,260.35,100683.0
2010-01-04 12:00:00+01:00,96857.11380999467,0.510706,260.87,100647.0
2010-01-04 13:00:00+01:00,82215.72498295129,0.221911,261.02,100616.0
2010-01-04 14:00:00+01:00,150891.24279462715,0.385802,260.77,100589.0
2010-01-04 15:00:00+01:00,73668.50955830615,0.635682,260.26,100554.0
2010-01-04 16:00:00+01:00,224580.79377295086,0.722206,259.74,100512.0
2010-01-04 17:00:00+01:00,88581.24520382709,0.635188,259.48,100467.0
2010-01-04 18:00:00+01:00,60302.23798629119,0.403484,259.34,100431.0
2010-01-04 19:00:00+01:00,135700.1421961679,0.257645,259.27,100399.0
2010-01-04 20:00:00+01:00,77291.16260231978,0.230887,259.22,100364.0
2010-01-04 21:00:00+01:00,44302.02294600089,0.289493,259.2,100326.0
2010-01-04 22:00:00+01:00,171227.95130763325,0.674469,259.2,100291.0
2010-01-04 23:00:00+01:00,254202.9757883843,1.13613,259.23,100256.0
2010-01-05 00:00:00+01:00,396842.5718611461,1.48263,259.34,100220.0
2010-01-05 01:00:00+01:00,340528.26149128965,1.54889,259.51,100181.0
2010-01-05 02:00:00+01:00,322089.91820258053,1.36231,260.18,100140.0
2010-01-05 03:00:00+01:00,277312.0968368561,1.30019,259.94,100091.0
2010-01-05 04:00:00+01:00,332884.2509027032,1.22271,259.72,100042.0
2010-01-05 05:00:00+01:00,258421.66922210235,1.06734,259.57,99998.2
2010-01-05 06:00:00+01:00,151418.5645687498,0.971272,259.44,99948.1
2010-01-05 07:00:00+01:00,137926.77472696823,1.09976,259.2,99886.7
2010-01-05 08:00:00+01:00,173120.89045007757,1.37298,258.91,99818.8
2010-01-05 09:00:00+01:00,308799.319930767,1.56233,259.34,99756.1
2010-01-05 10:00:00+01:00,366934.9745474134,1.60909,259.88,99696.6
2010-01-05 11:00:00+01:00,288247.2757771656,1.47126,260.47,99642.5
2010-01-05 12:00:00+01:00,261688.05789747386,1.22238,260.97,99582.7
2010-01-05 13:00:00+01:00,162731.90556169054,1.05889,261.13,99521.3
2010-01-05 14:00:00+01:00,378017.6556231817,1.27001,260.83,99471.2
2010-01-05 15:00:00+01:00,222978.07677328016,1.5522200000000002,260.21,99432.7
2010-01-05 16:00:00+01:00,369140.892546364,1.70032,259.62,99403.5
2010-01-05 17:00:00+01:00,535576.3238501826,1.75863,259.21,99363.6
2010-01-05 18:00:00+01:00,242402.33350645352,1.6418,258.96,99323.1
2010-01-05 19:00:00+01:00,396451.44465521735,1.43202,258.82,99287.1
2010-01-05 20:00:00+01:00,279242.9069411506,1.39284,258.68,99238.3
2010-01-05 21:00:00+01:00,386785.4555931625,1.30528,258.59,99190.8
2010-01-05 22:00:00+01:00,336154.84192770947,1.1415799999999998,258.57,99160.1
2010-01-05 23:00:00+01:00,179875.8708687073,1.10291,258.65,99141.2
2010-01-06 00:00:00+01:00,154809.9219631761,1.17376,258.84,99130.9
2010-01-06 01:00:00+01:00,156729.11916957848,1.19974,259.23,99127.4
